Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2000-01-03,0.8392806053161621,0.8434978669097757,0.7624284506413466,0.7863277345584394,535796800
2000-01-04,0.7685208916664124,0.8294396434333416,0.7586798799199955,0.8116327538237704,512377600
2000-01-05,0.7797665596008301,0.8289708029612607,0.7722692797229926,0.7778922271181354,778321600
2000-01-06,0.712287187576294,0.8022604967351268,0.712287187576294,0.7957003548364923,767972800
2000-01-07,0.7460271716117859,0.7572739680821772,0.7160363984143142,0.7235336787768919,460734400
2000-01-10,0.7329062223434448,0.7666456667218751,0.7104127255263246,0.7647713337861646,505064000
2000-01-11,0.6954171657562256,0.7450900063640287,0.6785474721228415,0.7193164448148103,441548800
2000-01-12,0.6537110805511475,0.7160364068483461,0.648555827442937,0.7122868906963679,976068800
2000-01-13,0.7254080176353455,0.7404034304245253,0.6935429093605644,0.70842074777454,1032684800
2000-01-14,0.7530559301376343,0.7666455551992583,0.7450900538593618,0.7497758604905252,390376000
2000-01-18,0.7792981863021851,0.7947629968576855,0.7530560241547781,0.7572740865336353,459177600
2000-01-19,0.7989800572395325,0.8153812052681974,0.7750807781933805,0.7919505218709313,597643200
2000-01-20,0.8509958982467651,0.9109774477720004,0.8509958982467651,0.8659912606016005,1831132800
2000-01-21,0.8345947265625,0.8566188748217488,0.8261594533033159,0.8566188748217488,495924800
2000-01-24,0.7966371774673462,0.8453719757515732,0.7882018551693852,0.8130382754094352,440876800
2000-01-25,0.8416235446929932,0.8481845863294796,0.7675837099335304,0.787264932830645,497145600
2000-01-26,0.8261593580245972,0.8561501803800059,0.8228793386318712,0.8247536211268738,367158400
2000-01-27,0.8247537612915039,0.8472473073307902,0.8022602653051689,0.8158498918417267,340144000
2000-01-28,0.7619599103927612,0.8313139876261031,0.7544626282012197,0.8111642189908632,423348800
2000-01-31,0.7778922915458679,0.7788294828913072,0.7085382800243917,0.757273981840314,701680000
2000-02-01,0.7516502737998962,0.7872649030262232,0.7497759908638814,0.779766770223073,318035200
2000-02-02,0.7408720850944519,0.7657085101021248,0.7272824082723988,0.7553997542394935,464195200
2000-02-03,0.7746124863624573,0.7816420240339529,0.7516503410386773,0.7521189368410766,475193600
2000-02-04,0.809758186340332,0.8247535461010014,0.7769550422734737,0.7792979702585104,425320000
2000-02-07,0.8552134037017822,0.8566191913339984,0.7942946382619371,0.8097586525870847,441067200
2000-02-08,0.8613054752349854,0.870676988272448,0.8341261253508915,0.8547444350710354,408643200
2000-02-09,0.8444350361824036,0.8781753343734039,0.8430293489254772,0.8556818356147087,299364800
2000-02-10,0.8509958982467651,0.8538073722728378,0.8247536887816486,0.8463100414660483,302982400
2000-02-11,0.8153814673423767,0.855681857317319,0.8116328010523042,0.8519331910272465,212251200
2000-02-14,0.8683343529701233,0.8688029487742861,0.8144442838496714,0.819598687536584,367539200
2000-02-15,0.8922333717346191,0.8992629073195263,0.863648335531787,0.8641169311950921,485744000
2000-02-16,0.855681836605072,0.8856734686357892,0.840686471066331,0.8828611931654474,378246400
2000-02-17,0.8613054752349854,0.8659912317537166,0.8481843959659896,0.863648353494351,289497600
2000-02-18,0.834126353263855,0.8650542767711855,0.8313140276629422,0.8594313273699622,233441600
2000-02-22,0.8533387780189514,0.8767694634444441,0.7999172677274687,0.8256908815472591,422296000
2000-02-23,0.8716140985488892,0.8922333073042346,0.8322508644031141,0.8490038839241862,473099200
2000-02-24,0.8637654185295105,0.8931709348328429,0.8378750719053318,0.8795812545169002,376432000
2000-02-25,0.8275654315948486,0.8772383425794562,0.8256911483373448,0.860837187831664,249144000
2000-02-28,0.849121630191803,0.8622427116702888,0.8125699102151474,0.825690991693633,328328000
2000-02-29,0.859431266784668,0.8791124892547891,0.8439665052738433,0.8514645380922728,368961600
2000-03-01,0.9770515561103821,0.9901726373490048,0.888484858385111,0.8889534541285039,1077003200
2000-03-02,0.9147267937660217,0.959244479501041,0.9048857850684399,0.9522157453069602,311259200
2000-03-03,0.9597131609916687,0.961470820383714,0.8997316077290456,0.93628247414563,323366400
2000-03-06,0.9423748254776001,0.9681483882432415,0.9372195723526656,0.9447177037279393,210560000
2000-03-07,0.9212868213653564,0.9554956995023718,0.9081657449646773,0.9479975697373292,273011200
2000-03-08,0.9147267937660217,0.9292536586282842,0.8889532334308895,0.9212869323330464,271230400
2000-03-09,0.9166012406349182,0.9372195497790173,0.8866104176563062,0.9062916355863743,276718400
2000-03-10,0.9428436756134033,0.9592448288511932,0.9072289935041945,0.9123842480204832,248606400
2000-03-13,0.9095720052719116,0.9484666591549789,0.8959823262247523,0.9156643514972699,303956800
2000-03-14,0.8566188216209412,0.9315966322940514,0.8547444389202952,0.9088687910427559,428579200
2000-03-15,0.8716140985488892,0.9016057204229738,0.8556815468293785,0.8669283424659845,443609600
2000-03-16,0.9114463925361633,0.9147272643545905,0.8584934577426807,0.8795812728678035,378100800
2000-03-17,0.9372198581695557,0.9372198581695557,0.8969194168816107,0.900668984242175,305043200
2000-03-20,0.9222241640090942,0.94659193853112,0.917538307639028,0.9259736299310499,204489600
2000-03-21,1.0117290019989014,1.0253185783296008,0.9119155099086376,0.9189442455656253,524328000
2000-03-22,1.0810829401016235,1.0824895280822042,0.9864239035939463,0.9955620705434384,567996800
2000-03-23,1.05952787399292,1.1274761821254402,1.0496868594734765,1.0646822287280493,562564800
2000-03-24,1.0398458242416382,1.0792090806878278,1.0159465326462724,1.0679622786795857,446913600
2000-03-27,1.0464063882827759,1.085301034742101,1.0262557710417628,1.0318796204850265,279182400
2000-03-28,1.0431263446807861,1.0646818486890555,1.0281300798256832,1.029067271299699,202966400
2000-03-29,1.0192269086837769,1.045469066878139,1.003411079157694,1.0450005713171129,239836800
2000-03-30,0.9428436756134033,1.0323482759427212,0.9405006966248263,1.0014195518106663,414400000
2000-03-31,1.0182901620864868,1.0290674656494554,0.9447180147278932,0.9554962192441686,404633600
2000-04-03,0.999545693397522,1.0459385036348317,0.9704920379441073,1.015946855246188,328563200
2000-04-04,0.9545590281486511,0.997202349459755,0.8753639310497329,0.9943908746110001,660329600
2000-04-05,0.977520763874054,0.9962647902008108,0.9297223054807793,0.9482319839281558,457665600
2000-04-06,0.938626229763031,1.0084488919642303,0.9240985616072711,0.9793952574529672,259627200
2000-04-07,0.9878297448158264,0.9887668361834997,0.9409691700779189,0.9540902511316178,242435200
2000-04-10,0.9372198581695557,0.995328041560326,0.9353455750188763,0.9873613120842529,212262400
2000-04-11,0.8955137133598328,0.9362826496191614,0.8852041051052633,0.9259739423178607,541822400
2000-04-12,0.8191298842430115,0.8922334139288156,0.7863276356780298,0.8922334139288156,941136000
2000-04-13,0.8533387780189514,0.8997315531804877,0.8135069431450639,0.8360004872446056,529827200
2000-04-14,0.8388122320175171,0.8847355754121118,0.8172558222861976,0.819598751436719,667620800
2000-04-17,0.9287856221199036,0.9292542180290493,0.8177245375736518,0.821005459732228,409561600
2000-04-18,0.9512786865234375,0.9512786865234375,0.8950449010105955,0.9259737182915108,390924800
2000-04-19,0.908166229724884,0.9765831215656089,0.8978566211389689,0.9461237925819025,520150400
2000-04-20,0.8912965655326843,0.9353456780815351,0.8777068850012506,0.9273797485750871,722120000
2000-04-24,0.9034801721572876,0.9034801721572876,0.8603682697788176,0.8622425523343937,443620800
2000-04-25,0.9620562195777893,0.9653370906169114,0.9151956428363648,0.9156642385931881,391641600
2000-04-26,0.9095720052719116,0.9597133591291249,0.899731793483018,0.9494037506782635,366912000
2000-04-27,0.9503412246704102,0.9522164093333361,0.8740752060389733,0.8786442418272107,326603200
2000-04-28,0.9301913380622864,0.9559650148034803,0.9095722164786323,0.953153539368948,249580800
2000-05-01,0.9320651888847351,0.9381575330417081,0.9137897581080024,0.9362823495725677,226195200
2000-05-02,0.8837982416152954,0.946592176395818,0.8809867671291276,0.9240986787060024,236432000
2000-05-03,0.8627111911773682,0.9091031654293729,0.8369376274451809,0.8917648246253939,489798400
2000-05-04,0.8299083113670349,0.8641172071971897,0.8289711197410824,0.863180015571237,399515200
2000-05-05,0.8481848239898682,0.8603687180611828,0.8301427803079523,0.8308456241192637,284076800
2000-05-08,0.8256911039352417,0.852401816222181,0.8247539123039248,0.8404521724462461,184900800
2000-05-09,0.7905449271202087,0.8341262323145092,0.7863277156807922,0.8270966956819705,327140800
2000-05-10,0.7446216344833374,0.7872649525337515,0.74040357163239,0.7802354150490265,535091200
2000-05-11,0.7708637714385986,0.781641974743697,0.7422787285533936,0.760085618186456,499744000
2000-05-12,0.8069466352462769,0.8285021826198302,0.7855070104736851,0.7947627494405382,306913600
2000-05-15,0.7572740912437439,0.8102269615524663,0.7507131001895151,0.8102269615524663,678932800
2000-05-16,0.7924191951751709,0.8177241635419273,0.7703950974133312,0.7836329007651646,440451200
2000-05-17,0.7600857615470886,0.7774240586774973,0.7525876271317937,0.7769554628162653,398092800
2000-05-18,0.7553995847702026,0.7867960927997792,0.7544623935047016,0.7722692778139264,373777600
2000-05-19,0.7047897577285767,0.7441530006977853,0.7001030996422082,0.7441530006977853,740667200
2000-05-22,0.6743296980857849,0.7029155965134627,0.6448074588606002,0.7029155965134627,755507200
2000-05-23,0.6434016227722168,0.7001031633419006,0.6419958854937529,0.678547657487544,517585600
2000-05-24,0.6574599146842957,0.6729238772524122,0.6223138763217269,0.6462131643892075,678462400
2000-05-25,0.6542966365814209,0.6947146074885902,0.6448074950285333,0.6635523811500953,406750400
2000-05-26,0.64761883020401,0.6738609943927177,0.6391844065905778,0.6598027207504563,181148800
